Postcode,Borough,Neighbourhood,Latitude,Longitude
76136,Queretaro,"José María Arteaga, Zona Militar",20.593969471745,-100.434995636573
76137,Queretaro,"La Aurora, Del Valle, San José 2a Sección, El Chamizal, Ferrocarriles Sección Rinconada Santa Anita, Jardines del Valle, Valle Real de San Ángel, La Sierrita, San Antonio del Maurel, Las Flores, Santo Niño, Santa María Magdalena, Fuentes Residencial",20.5966320195516,-100.443297960167
76138,Queretaro,"El Tintero, El Higo, Valle del Mezquital, Rinconada Zimapán, Luis Donaldo Colosio, Villas de Santa Mónica, Santa Mónica 1a Sección, El Progreso, Las Teresas, Felipe Carrillo Puerto, Santa Mónica 2a Secc",20.63576113088510,-100.40436609478700
76139,Queretaro,"La Higuera, Las Josefinas, Carrillo, Los Laureles, San José, Los Tabachines, Manuel Jurado, San Diego",20.6124993909637,-100.424620376422
76140,Queretaro,"Privada Arboledas, Cedros Tilipanes, Cedros Alcatraces, Las Plazas, Parque Queretaro 2000, Arboledas del Parque, San Pedrito Peñuelas, Viveros Residencial, Arboledas, Balcones Coloniales, Villas del Parque, Vista 2000, Colinas del Parque",20.61606782737310,-100.38485218832000
76144,Queretaro,"Rancho San Antonio, Bolaños, El Pedregal de Queretaro, Puerta del Cielo, Balcones del Acueducto",20.614672663991900,-100.37399248459500
76146,Queretaro,"Lomas del Campanario III, Miradores del Marques, Villas Palmira, Residencial el Refugio, Bolaños, La Purísima, Lomas del Campanario II, Altos del Marqués, Paseo San Junípero, La Cima, La Vista Residencial, Lomas del Marqués, El Campanario",20.6337115391021,-100.353464713142
76147,Queretaro,"San Ángel, 12 de Diciembre, Enrique Burgos (La Rinconada), Monarca, Lic. Alfredo Estrada Romero, La Ladera (Menchaca III), Vistana, Rancho Menchaca, Los Arroyitos, Palmas de San José, El Arcángel (La Guayina), Oasis, Generación 2000, Nuevo Menchaca, Colinas de Menchaca 2a Sección, Lomas de San José, Fray Junípero Serra, La Ladera, Los Huertos, Jardines de San José 1a. y 2a. Sección, Ignacio Pérez, Villas de San José, Lomas de Menchaca, Rinconada las Joyas, Antorchista, Jardines de San José 3a. Sección, Pedregal de San José, Epigmenio González (El Oasis), La Tinaja, Valles de San José, Jardines de San José, Privalia Ambienta, Ejido Menchaca (Los Pinos), Las Fuentes, Menchaca I, Cuauhtémoc, Victoria Popular, Rancho Menchaca (Ex-Hacienda Menchaca), Menchaca II, Menchaca III, San José el Alto, Colinas de Menchaca, Constituyentes, Buenos Aires, Cinco Halcones, Independencia, Diana Laura Rojas, Nueva Creación, Real de España, Santa Fe, San Felipe, Libertadores de América, Renacimiento, Ignacio Zaragoza, Mujeres Independientes",20.6434878809772,-100.382256719882
76148,Queretaro,"Nueva Esperanza, Bosques de Buenavista, Bosques de la Hacienda, Jardines de Santiago, El Vergel, Villas Fontana, Eurípides, Rincones del Parque, Ampliación Amalia Solórzano, Los Ciruelos, Paseos del Pedregal, Anexo a la Ecólogia, Nuevo San Pedrito, Paseos de la Cuesta, La Rueca, Valle de San Pedrito Peñuelas, La Ladera, Alameda Residencial, Orion, Jardines de Villas de Santiago, Bosques de Iturbide, Unidad Nacional, Colinas de San Pablo, El Parque, Los Padilla, Cuesta Azul, San Pedrito los Arcos, Puerta de Belén, Peñuelas, Misión Bucareli Norte, Desarrollo Centro Norte, Misión Riviera, El Castaño, El Castaño II, Mallorca, Mirador San Xavier, Lomas de San Pedrito, Amalia Solórzano, Conjunto Belén, San Pedrito Ecológico, Ricardo Flores Magón, San Pedrito Peñuelas I, San Pedrito Peñuelas II, San Pedrito Peñuelas III, San Pedrito Peñuelas IV, Libertad, Lomas de San Pedrito (Sección Portales), Reforma Agraria Radical, Villas de Santiago, Los Sabinos",20.6484464719165,-100.40494042641
76149,Queretaro,"Misión de Concá, Misión San Jerónimo",20.6301736857695,-100.365564444394
76150,Queretaro,"Felipe Ángeles, Sauces, Las Palomas, Asalias, El Fenix, San Roque, Géminis, Tecnológico 2000, Los Vitrales, Villas Tecnológico, San Pablo Tecnológico, Parque Industrial la Montaña, Los Fresnos, San Roque, La Popular, Molinos de la Era, Los Molinos, Bugambilias, Los Alcanfores, La Piedad, La Era, La Florida, La Estación F.F.C.C., Constituyentes FOVISSSTE, Rinconada los Pirules, Rinconada San José",20.60485670424400,-100.39883087973500
76154,Queretaro,El Retablo,20.596408353101500,-100.41260632816200
76155,Queretaro,Viveros de Queretaro,20.605973,-100.3770356
76156,Queretaro,"Constituyentes de 1824, Los Eucaliptos, San Gregorio, Los Alcanfores Sección Norte",20.6032365865841,-100.40554368332
76157,Queretaro,Santa Catarina,20.606859633333300,-100.40113656666700
76158,Queretaro,"Victoria, Real del Parque, Los Faroles, Prados del Tecnológico, Departamental Parques, España, Conjunto Parques, Tecnológico, El Porvenir, Las Peñitas, Las Peñas",20.608512782081100,-100.40035708812100
