,,,
Postcode,Neighbourhood,Zoning,Borough
76116,Teotihuacan,Colonia,Queretaro
76116,La Loma,Fraccionamiento,Queretaro
76116,Vistas del Valle,Fraccionamiento,Queretaro
76116,Querena,Fraccionamiento,Queretaro
76116,La Cordillera,Condominio,Queretaro
76116,Puerta del Sol,Fraccionamiento,Queretaro
76116,Las Azucenas,Fraccionamiento,Queretaro
76116,Colinas del Poniente,Fraccionamiento,Queretaro
76116,Bugambilias Residencial,Fraccionamiento,Queretaro
76116,Rocio Sanz,Fraccionamiento,Queretaro
76116,La Peña,Fraccionamiento,Queretaro
76116,Geo Plazas,Fraccionamiento,Queretaro
76116,Claustros de la Loma,Colonia,Queretaro
76116,Los Encinos,Fraccionamiento,Queretaro
76116,Sierra Colorada,Fraccionamiento,Queretaro
76116,Tenochtitlán,Colonia,Queretaro
76116,Patria Nueva,Colonia,Queretaro
76116,Ampliación Patria Nueva,Colonia,Queretaro
76116,Chula Vista I,Condominio,Queretaro
76116,Che Guevara (Axayacatl),Colonia,Queretaro
76116,Loma IX,Fraccionamiento,Queretaro
76116,25 de Diciembre,Colonia,Queretaro
76116,Geo Villas,Fraccionamiento,Queretaro
76116,Josefa Ortiz de Domínguez IV,Colonia,Queretaro
76116,Tenochtitlán II,Colonia,Queretaro
76116,Víctor Iturbe,Colonia,Queretaro
76116,Rinconada de las Fuentes,Fraccionamiento,Queretaro
76116,Misión de Carrillo,Fraccionamiento,Queretaro
76116,Chula Vista II,Condominio,Queretaro
76116,Ciudad del Sol,Fraccionamiento,Queretaro
76116,Misión de Carrillo II,Fraccionamiento,Queretaro
76116,Loma Real,Fraccionamiento,Queretaro
76116,Eucaliptos,Colonia,Queretaro
76116,Lomas de San Ángel,Fraccionamiento,Queretaro
76116,Las Camelinas,Colonia,Queretaro
76116,Jardines de Azucenas,Colonia,Queretaro
76116,Prados del Rincón 2a. Sección,Colonia,Queretaro
76116,La Floresta,Colonia,Queretaro
76117,Insurgentes,Fraccionamiento,Queretaro
76117,San Marcos,Colonia,Queretaro
76117,Desarrollo Familiar,Colonia,Queretaro
76117,Rubén Jaramillo,Colonia,Queretaro
76117,San Pedro Mártir,Colonia,Queretaro
76117,Fundadores,Fraccionamiento,Queretaro
76117,Colinas de Santa Cruz 1a Sección,Colonia,Queretaro
76117,Colinas de Santa Cruz 2a Sección,Colonia,Queretaro
76117,Misión Fundadores,Fraccionamiento,Queretaro
76117,Prados del Rincón,Colonia,Queretaro
76117,Fernando de Tapia,Colonia,Queretaro
76117,Pedregal de Buenos Aires,Colonia,Queretaro
76117,Jardines del Sol,Colonia,Queretaro
76117,San Marcos I,Colonia,Queretaro
76117,La Esmeralda,Colonia,Queretaro
76117,Laderas de San Pedro,Colonia,Queretaro
76117,Comevi,Colonia,Queretaro
76117,Francisco Javier Mina,Colonia,Queretaro
76117,Centenario,Colonia,Queretaro
76118,Loma Bonita 2a. Sección,Colonia,Queretaro
76118,Francisco Villa I,Colonia,Queretaro
76118,Hacienda Mompaní,Fraccionamiento,Queretaro
76118,Monte Vesubio,Fraccionamiento,Queretaro
76118,Rosendo Salazar,Colonia,Queretaro
76118,Morelos,Colonia,Queretaro
76118,Francisco Villa II,Colonia,Queretaro
76118,Cerrito Colorado III,Fraccionamiento,Queretaro
76118,Cerrito Colorado IV,Fraccionamiento,Queretaro
76118,Cerrito Colorado V,Fraccionamiento,Queretaro
76118,Cerrito Colorado VI,Fraccionamiento,Queretaro
76118,Cerrito Colorado VII,Fraccionamiento,Queretaro
76118,Miguel Hidalgo,Colonia,Queretaro
76118,Loma Bonita,Colonia,Queretaro
76118,10 de Abril,Colonia,Queretaro
76118,Independencia,Colonia,Queretaro
76118,Libertadores,Fraccionamiento,Queretaro
76118,15 de Mayo,Colonia,Queretaro
76118,Luis Donaldo Colosio,Colonia,Queretaro
76118,Paseos de San Miguel,Fraccionamiento,Queretaro
76118,Eduardo Loarca Castillo,Fraccionamiento,Queretaro
76118,Jardines de Jurica,Fraccionamiento,Queretaro
76118,El Romerillal,Colonia,Queretaro
76118,Villas de San Miguel,Fraccionamiento,Queretaro
76118,Paraíso,Colonia,Queretaro
76118,Revolución,Fraccionamiento,Queretaro
76118,Prados de Loma Bonita,Colonia,Queretaro
76118,Leyes de Reforma,Colonia,Queretaro
76118,El Tepeyac,Colonia,Queretaro
76118,San Miguel,Fraccionamiento,Queretaro
76118,Real del Marques Residencial,Fraccionamiento,Queretaro
76118,5 de Febrero,Colonia,Queretaro
76118,Lomas del Pedregal 2a. Sección,Colonia,Queretaro
76118,Rinconada del Cerrito,Fraccionamiento,Queretaro
76120,Benito Juárez,Zona industrial,Queretaro
76120,Santiago,Parque industrial,Queretaro
76121,Las Américas,Colonia,Queretaro
76121,Las Américas San Pablo,Colonia,Queretaro
76121,San Pablo IV (INFONAVIT),Colonia,Queretaro
76121,Conquistadores,Colonia,Queretaro
76121,San Pablo III (INFONAVIT),Colonia,Queretaro
76121,Movimiento Obrero,Fraccionamiento,Queretaro
76121,Tlanese,Colonia,Queretaro
76121,Altos de San Pablo,Colonia,Queretaro
76121,Felipe Ángeles,Colonia,Queretaro
76121,Puesta del Sol,Colonia,Queretaro
76121,La Esperanza,Colonia,Queretaro
76121,Nueva Esperanza,Colonia,Queretaro
76125,San Pablo II,Colonia,Queretaro
76125,San Pablo I,Colonia,Queretaro
76125,Desarrollo San Pablo II,Colonia,Queretaro
76125,Desarrollo San Pablo I,Colonia,Queretaro
76125,Terrazas de San Pablo,Colonia,Queretaro
76125,Bellavista,Fraccionamiento,Queretaro
76125,Los Robles,Colonia,Queretaro
76125,Cipreses,Colonia,Queretaro
76125,Lomas de San Pablo,Fraccionamiento,Queretaro
76125,Sergio Villaseñor,Colonia,Queretaro
76125,Jardines de Alborada,Colonia,Queretaro
76125,La Condesa,Colonia,Queretaro
76125,Balcones de San Pablo,Colonia,Queretaro
76125,Nuevo Horizonte,Colonia,Queretaro
76125,Valle de San Pablo,Colonia,Queretaro
76125,San Pablo II FOVISSSTE,Colonia,Queretaro
76125,Desarrollo San Pablo,Colonia,Queretaro
76125,San Pablo I FOVISSSTE,Colonia,Queretaro
76125,Rivera y Tamayo,Condominio,Queretaro
76125,Punta San Carlos,Fraccionamiento,Queretaro
76125,San Pablo,Ejido,Queretaro
76125,Misión Bucareli Sur,Fraccionamiento,Queretaro
76125,Latinoamericana,Colonia,Queretaro
76125,José María Bustamante,Colonia,Queretaro
76125,Margaritas,Colonia,Queretaro
76125,Proyección 2000,Colonia,Queretaro
76125,Desarrollo San Ángel,Fraccionamiento,Queretaro
76127,Raquet Club,Fraccionamiento,Queretaro
76127,Arco de Piedra,Fraccionamiento,Queretaro
76127,El Salitre,Colonia,Queretaro
76127,Cuitláhuac,Colonia,Queretaro
76127,Parque Industrial Jurica,Zona industrial,Queretaro
76127,Palmares,Fraccionamiento,Queretaro
76127,Lomas del Salitre,Colonia,Queretaro
76130,Industrial,Colonia,Queretaro
76130,Obrera,Colonia,Queretaro
76134,El Tintero,Colonia,Queretaro
76134,El Arco,Colonia,Queretaro
76134,Solidaridad 90,Colonia,Queretaro
76134,Plutarco Elías Calles,Colonia,Queretaro
76134,Nuevo Carrillo,Colonia,Queretaro
76134,El Mirador,Fraccionamiento,Queretaro
76134,Ampolletas,Fraccionamiento,Queretaro
76134,El Tintero Dos (Las Margaritas),Fraccionamiento,Queretaro
76134,San Sebastián,Colonia,Queretaro
76134,Santa Mónica,Fraccionamiento,Queretaro
76134,Rancho Bellavista,Fraccionamiento,Queretaro
76135,San Antonio de la Punta,Colonia,Queretaro
76135,5 de Febrero,Unidad habitacional,Queretaro
76136,José María Arteaga,Colonia,Queretaro
76136,Zona Militar,Equipamiento,Queretaro
76137,Santa María Magdalena,Colonia,Queretaro
76137,Santo Niño,Colonia,Queretaro
76137,Las Flores,Colonia,Queretaro
76137,San Antonio del Maurel,Colonia,Queretaro
76137,La Sierrita,Colonia,Queretaro
76137,Fuentes Residencial,Fraccionamiento,Queretaro
76137,Jardines del Valle,Colonia,Queretaro
76137,La Aurora,Fraccionamiento,Queretaro
76137,Valle Real de San Ángel,Fraccionamiento,Queretaro
76137,El Chamizal,Fraccionamiento,Queretaro
76137,San José 2a Sección,Fraccionamiento,Queretaro
76137,Del Valle,Fraccionamiento,Queretaro
76137,Ferrocarriles Sección Rinconada Santa Anita,Fraccionamiento,Queretaro
76138,Felipe Carrillo Puerto,Colonia,Queretaro
76138,Las Teresas,Colonia,Queretaro
76138,El Progreso,Colonia,Queretaro
76138,Santa Mónica 1a Sección,Fraccionamiento,Queretaro
76138,Santa Mónica 2a Secc,Fraccionamiento,Queretaro
76138,Luis Donaldo Colosio,Fraccionamiento,Queretaro
76138,Rinconada Zimapán,Fraccionamiento,Queretaro
76138,Valle del Mezquital,Colonia,Queretaro
76138,El Higo,Colonia,Queretaro
76138,Villas de Santa Mónica,Colonia,Queretaro
76138,El Tintero,Fraccionamiento,Queretaro
76139,Manuel Jurado,Colonia,Queretaro
76139,Los Tabachines,Colonia,Queretaro
76139,San José,Colonia,Queretaro
76139,San Diego,Colonia,Queretaro
76139,Los Laureles,Colonia,Queretaro
76139,Carrillo,Zona industrial,Queretaro
76139,Las Josefinas,Fraccionamiento,Queretaro
76139,La Higuera,Fraccionamiento,Queretaro
76140,Arboledas,Colonia,Queretaro
76140,Balcones Coloniales,Colonia,Queretaro
76140,Colinas del Parque,Colonia,Queretaro
76140,Vista 2000,Fraccionamiento,Queretaro
76140,Viveros Residencial,Fraccionamiento,Queretaro
76140,Villas del Parque,Fraccionamiento,Queretaro
76140,Arboledas del Parque,Colonia,Queretaro
76140,Privada Arboledas,Fraccionamiento,Queretaro
76140,San Pedrito Peñuelas,Zona industrial,Queretaro
76140,Parque Queretaro 2000,Equipamiento,Queretaro
76140,Las Plazas,Condominio,Queretaro
76140,Cedros Alcatraces,Fraccionamiento,Queretaro
76140,Cedros Tilipanes,Fraccionamiento,Queretaro
76144,Rancho San Antonio,Unidad habitacional,Queretaro
76144,Bolaños,Colonia,Queretaro
76144,El Pedregal de Queretaro,Fraccionamiento,Queretaro
76144,Puerta del Cielo,Fraccionamiento,Queretaro
76144,Balcones del Acueducto,Fraccionamiento,Queretaro
76146,Lomas del Marqués,Colonia,Queretaro
76146,La Vista Residencial,Fraccionamiento,Queretaro
76146,La Cima,Fraccionamiento,Queretaro
76146,Paseo San Junípero,Fraccionamiento,Queretaro
76146,Altos del Marqués,Fraccionamiento,Queretaro
76146,El Campanario,Fraccionamiento,Queretaro
76146,La Purísima,Colonia,Queretaro
76146,Bolaños,Ejido,Queretaro
76146,Lomas del Campanario II,Colonia,Queretaro
76146,Residencial el Refugio,Fraccionamiento,Queretaro
76146,Villas Palmira,Fraccionamiento,Queretaro
76146,Miradores del Marques,Fraccionamiento,Queretaro
76146,Lomas del Campanario III,Fraccionamiento,Queretaro
76147,Valles de San José,Fraccionamiento,Queretaro
76147,Constituyentes,Fraccionamiento,Queretaro
76147,Privalia Ambienta,Fraccionamiento,Queretaro
76147,Ejido Menchaca (Los Pinos),Colonia,Queretaro
76147,Las Fuentes,Fraccionamiento,Queretaro
76147,Menchaca I,Colonia,Queretaro
76147,Cuauhtémoc,Colonia,Queretaro
76147,Victoria Popular,Colonia,Queretaro
76147,Rancho Menchaca (Ex-Hacienda Menchaca),Colonia,Queretaro
76147,Menchaca II,Colonia,Queretaro
76147,Menchaca III,Colonia,Queretaro
76147,San José el Alto,Colonia,Queretaro
76147,Colinas de Menchaca,Colonia,Queretaro
76147,Mujeres Independientes,Colonia,Queretaro
76147,Buenos Aires,Colonia,Queretaro
76147,Cinco Halcones,Colonia,Queretaro
76147,Independencia,Colonia,Queretaro
76147,Diana Laura Rojas,Colonia,Queretaro
76147,Nueva Creación,Colonia,Queretaro
76147,Real de España,Colonia,Queretaro
76147,Santa Fe,Colonia,Queretaro
76147,San Felipe,Colonia,Queretaro
76147,Libertadores de América,Fraccionamiento,Queretaro
76147,Renacimiento,Colonia,Queretaro
76147,Ignacio Zaragoza,Colonia,Queretaro
76147,La Tinaja,Colonia,Queretaro
76147,Jardines de San José,Colonia,Queretaro
76147,Pedregal de San José,Colonia,Queretaro
76147,Villas de San José,Colonia,Queretaro
76147,Epigmenio González (El Oasis),Colonia,Queretaro
76147,Los Arroyitos,Colonia,Queretaro
76147,Rancho Menchaca,Colonia,Queretaro
76147,La Ladera (Menchaca III),Colonia,Queretaro
76147,Vistana,Fraccionamiento,Queretaro
76147,El Arcángel (La Guayina),Colonia,Queretaro
76147,Lic. Alfredo Estrada Romero,Colonia,Queretaro
76147,Monarca,Colonia,Queretaro
76147,Enrique Burgos (La Rinconada),Colonia,Queretaro
76147,12 de Diciembre,Colonia,Queretaro
76147,San Ángel,Colonia,Queretaro
76147,Palmas de San José,Colonia,Queretaro
76147,Oasis,Colonia,Queretaro
76147,Jardines de San José 3a. Sección,Colonia,Queretaro
76147,Nuevo Menchaca,Colonia,Queretaro
76147,Colinas de Menchaca 2a Sección,Colonia,Queretaro
76147,Lomas de San José,Colonia,Queretaro
76147,Fray Junípero Serra,Fraccionamiento,Queretaro
76147,La Ladera,Colonia,Queretaro
76147,Los Huertos,Fraccionamiento,Queretaro
76147,Jardines de San José 1a. y 2a. Sección,Colonia,Queretaro
76147,Ignacio Pérez,Fraccionamiento,Queretaro
76147,Generación 2000,Colonia,Queretaro
76147,Lomas de Menchaca,Colonia,Queretaro
76147,Rinconada las Joyas,Colonia,Queretaro
76147,Antorchista,Colonia,Queretaro
76148,Puerta de Belén,Fraccionamiento,Queretaro
76148,Peñuelas,Colonia,Queretaro
76148,Misión Bucareli Norte,Fraccionamiento,Queretaro
76148,Desarrollo Centro Norte,Fraccionamiento,Queretaro
76148,Misión Riviera,Fraccionamiento,Queretaro
76148,El Castaño,Fraccionamiento,Queretaro
