CP,Neighbourhood,Zoning,Borough
76080,Lomas de Casablanca,Residential,Queretaro
76190,Lomas de Queretaro,Residential,Queretaro
76125,Lomas de San Pablo,Residential,Queretaro
76125,Lomas de San Pedrito,Residential,Queretaro
76148,Lomas de San Pedrito Peñuelas Secc Portales,Residential,Queretaro
76086,Lomas Del Campestre,Residential,Queretaro
76085,Lomas Del Cimatario,Residential,Queretaro
76146,Lomas Del Marques,Residential,Queretaro
76085,Lomas Del Valle,Residential,Queretaro
76150,Los Alcanfores,Residential,Queretaro
76150,Los Angeles,Residential,Queretaro
76024,Los Arcos,Residential,Queretaro
76086,Los Candiles,Residential,Queretaro
76165,Los Cedros,Residential,Queretaro
76148,Los Ciruelos,Residential,Queretaro
76165,Los Claustros,Residential,Queretaro
76087,Los Comerciantes,Residential,Queretaro
76156,Los Eucaliptos,Residential,Queretaro
76158,Los Faroles,Residential,Queretaro
76113,Los Framboyanes,Residential,Queretaro
76150,Los Fresnos,Residential,Queretaro
76117,Los Fundadores,Residential,Queretaro
76159,Los Girasoles,Residential,Queretaro
76139,Los Laureles,Residential,Queretaro
76116,Los Manzanos,Residential,Queretaro
76150,Los Molinos,Residential,Queretaro
76148,Los Padilla,Residential,Queretaro
76147,Los Pinos,Residential,Queretaro
76176,Los Pinos,Residential,Queretaro
76125,Los Robles,Residential,Queretaro
76114,Los Sauces,Residential,Queretaro
76139,Los Tabachines,Residential,Queretaro
76175,Los Virreyes,Residential,Queretaro
76150,Los Vitrales,Residential,Queretaro
76118,Luis Donaldo Colosio,Residential,Queretaro
76138,Luis Donaldo Colosio,Residential,Queretaro
76180,Magisterial,Residential,Queretaro
76229,Mampani,Agro-industrial,Queretaro
76185,Mansiones Del Valle,Residential,Queretaro
76139,Manuel Jurado,Residential,Queretaro
76165,Margaritas,Residential,Queretaro
76080,María Esther Zuno de Echeverría,Residential,Queretaro
76037,Mariano de las Casas,Residential,Queretaro
76085,Marques Queretaro,Residential,Queretaro
76235,Menchaca,Agro-industrial,Queretaro
76147,Menchaca I,Residential,Queretaro
76147,Menchaca II,Residential,Queretaro
76147,Menchaca III,Residential,Queretaro
76040,Mercurio,Residential,Queretaro
76116,Miguel Hidalgo,Residential,Queretaro
76060,Milenio,Residential,Queretaro
76060,Milenio III,Residential,Queretaro
76136,Militar,Residential,Queretaro
76188,Milpa Alta,Hacienda,Queretaro
76159,Mirador,Residential,Queretaro
76146,Mirador Del Marques,Residential,Queretaro
76149,Misión de Concá,Residential,Queretaro
76177,Modelo,Residential,Queretaro
76206,Modelo,Agro-industrial,Queretaro
76030,Moderna,Residential,Queretaro
76038,Moderna,Residential Unit,Queretaro
76156,Moderna,Residential Unit,Queretaro
76150,Molinos de La Era,Residential,Queretaro
76087,Monte Blanco,Residential,Queretaro
76220,Montenegro,Hacienda,Queretaro
76069,Morelos,Residential,Queretaro
76118,Morelos,Residential,Queretaro
76121,Movimiento Obrero,Residential,Queretaro
76147,Mujeres Independientes,Residential,Queretaro
76010,Niños Héroes,Residential,Queretaro
76147,Nueva Creación,Residential,Queretaro
76134,Nuevo Carrillo,Residential,Queretaro
76130,Obrera,Residential,Queretaro
76040,Observatorio,Residential,Queretaro
76211,Ojo de Agua,Agro-industrial,Queretaro
76180,Orquídeas,Residential,Queretaro
76009,Palacio de Gobierno Del Estado de Queretaro,Gran usuario,Queretaro
76127,Palmares,Residential,Queretaro
76213,Palo Alto,Agro-industrial,Queretaro
76040,Panamericano,Residential,Queretaro
76046,Panorámico,Residential,Queretaro
76160,Parque Del Álamo,Residential,Queretaro
76020,Pathe,Residential,Queretaro
76144,Pedregal de Queretaro,Residential,Queretaro
76063,Pedregal de Vista Hermosa,Residential,Queretaro
76024,Peñitas,Residential,Queretaro
76148,Peñuelas,Residential,Queretaro
76233,Peñuelas,Agro-industrial,Queretaro
76224,Pie de Gallo,Agro-industrial,Queretaro
76223,Pintillo,Agro-industrial,Queretaro
76223,Pinto,Agro-industrial,Queretaro
76099,Plaza Del Sol,Residential,Queretaro
76099,Plaza Del Sol 2a Sección,Residential,Queretaro
76099,Plaza Del Sol 3a Sección,Residential,Queretaro
76169,Plazas Del Parque,Residential,Queretaro
76134,Plutarco Elias Calles,Residential,Queretaro
76150,Popular Indeco,Residential Unit,Queretaro
76148,Portal de Samaniego,Residential,Queretaro
76158,Porvenir,Residential,Queretaro
76087,Praderas Del Sol,Residential,Queretaro
76176,Prados de La Capilla,Residential,Queretaro
76199,Prados Del Campestre,Residential,Queretaro
76070,Prados Del Mirador,Residential,Queretaro
76158,Prados Del Tecnológico,Residential,Queretaro
76216,Presa de Becerra,Agro-industrial,Queretaro
76225,Presa de Santa Catarina,Agro-industrial,Queretaro
76080,Presidentes,Residential,Queretaro
76040,Primavera,Residential,Queretaro
76156,Primavera,Residential,Queretaro
76140,Privada Arboledas,Residential,Queretaro
76230,Privada Juriquilla,Residential,Queretaro
76116,Privadas Del Cerrito Colorado,Residential,Queretaro
76138,Progreso,Residential,Queretaro
76230,Providencia Juriquilla,Residential,Queretaro
76144,Puerta del Cielo,Residential,Queretaro
76114,Puertas Del Sol,Residential,Queretaro
76220,Puerto de Aguirre,Agro-industrial,Queretaro
76116,Puestas Del Sol,Residential,Queretaro
76116,Querena,Residential,Queretaro
76079,Quinta Balaustradas,Residential,Queretaro
76168,Quinta Laborcla,Residential,Queretaro
76047,Quintas Del Marques,Residential,Queretaro
76146,Rancho Nuevo,Residential,Queretaro
76127,Raquet Club,Residential,Queretaro
76158,Real Del Parque,Residential Unit,Queretaro
76147,Real España,Residential,Queretaro
76159,Real Jurica,Residential,Queretaro
76086,Reforma Agraria,Residential,Queretaro
76086,Reforma Agraria 2a Secc,Residential,Queretaro
76086,Reforma Agraria 3a Secc,Residential,Queretaro
76086,Reforma Agraria 4a Secc,Residential,Queretaro
76086,Reforma Agraria 5a Secc,Residential,Queretaro
76148,Reforma Agraria Radical,Residential,Queretaro
76074,Residencial Alambra,Residential,Queretaro
76168,Residencial Bosques,Residential,Queretaro
76177,Residential Frondoso,Residential,Queretaro
76131,Residencial Italia,Residential,Queretaro
76150,Residencial Tecnológico,Residential,Queretaro
76148,Ricardo Flores Magón,Residential,Queretaro
76005,Rincón de San Andres,Residential,Queretaro
76190,Rincón de San Antonio,Residential,Queretaro
76125,Rinconada Del Pacifico,Residential,Queretaro
76113,Rinconada Del Sol,Residential,Queretaro
76168,Rinconada Jacarandas,Residential,Queretaro
76177,Rinconada La Capilla,Residential,Queretaro
76150,Rinconada los Pirules,Residential,Queretaro
76159,Rinconada San Joaquín,Residential,Queretaro
76138,Rinconada Zimapan,Residential,Queretaro
76118,Rosendo Salazar,Residential,Queretaro
76117,Ruben Jaramillo,Residential,Queretaro
76030,San Angel,Residential,Queretaro
76144,San Antonio,Residential Unit,Queretaro
76135,San Antonio de La Huerta,Residential,Queretaro
76135,San Antonio de La Punta,Residential,Queretaro
76137,San Antonio Del Maurel,Residential,Queretaro
76139,San Diego,Residential,Queretaro
76147,San Felipe,Residential,Queretaro
76230,San Francisco,Residential,Queretaro
76058,San Francisquito,Residential,Queretaro
76156,San Gregorio,Residential,Queretaro
76223,San Isidro Buenavista,Agro-industrial,Queretaro
76228,San Isidro El Alto,Agro-industrial,Queretaro
76209,San Isidro Miranda,Agro-industrial,Queretaro
76224,San Isidro Viejo,Agro-industrial,Queretaro
76020,San Javier,Residential,Queretaro
76139,San José,Residential,Queretaro
76226,San José Buenavista,Agro-industrial,Queretaro
76227,San José de La Tinaja,Agro-industrial,Queretaro
76147,San José El Alto,Residential,Queretaro
76238,San José El Alto,Agro-industrial,Queretaro
76027,San José Inn,Residential,Queretaro
76117,San Marcos,Residential,Queretaro
76220,San Miguelito,Agro-industrial,Queretaro
76159,San Pablo,Residential,Queretaro
76125,San Pablo I,Residential,Queretaro
76125,San Pablo II,Residential,Queretaro
76121,San Pablo III,Residential,Queretaro
76121,San Pablo IV,Residential,Queretaro
76150,San Pablo Tecnológico,Residential,Queretaro
76148,San Pedrito Ecológico,Residential,Queretaro
76232,San Pedrito El Alto,Agro-industrial,Queretaro
76148,San Pedrito los Arcos,Residential,Queretaro
76148,San Pedrito Peñuelas I,Residential,Queretaro
76148,San Pedrito Peñuelas II,Residential,Queretaro
76148,San Pedrito Peñuelas III,Residential,Queretaro
76148,San Pedrito Peñuelas IV,Residential,Queretaro
76117,San Pedro Mártir,Residential,Queretaro
76150,San Roque,Residential,Queretaro
76165,San Sebastián,Residential,Queretaro
76157,Santa Catarina,Residential,Queretaro
76223,Santa Catarina,Agro-industrial,Queretaro
76147,Santa Fe,Residential,Queretaro
76137,Santa María,Residential,Queretaro
76138,Santa Mónica 1a Sección,Residential,Queretaro
76138,Santa Mónica 2a Secc,Residential,Queretaro
76220,Santa Rosa de Jauregui,Pueblo,Queretaro
76179,Santiago,Residential,Queretaro
76000,Santiago de Queretaro Centro,Residential,Queretaro
76137,Santo Niño,Residential,Queretaro
76234,Santo Niño de Praga,Agro-industrial,Queretaro
76110,Satélite,Residential,Queretaro
76115,Satélite Fovissste,Residential,Queretaro
76007,Secretaria de Hacienda y Crédito Publico,Gran usuario,Queretaro
76114,Sendero,Commercial,Queretaro
76125,Sergio Villaseñor,Residential,Queretaro
76134,Solidaridad 90,Residential,Queretaro
76158,Tecnológico,Residential,Queretaro
76116,Teotihuacan,Residential,Queretaro
76125,Terrazas de San Pablo,Residential,Queretaro
76069,Texas,Residential,Queretaro
76229,Tlacote El Alto,Agro-industrial,Queretaro
76229,Tlacote El Bajo,Agro-industrial,Queretaro
76121,Tlanese,Residential,Queretaro
76230,Tolimán,Residential,Queretaro
76148,Unidad Nacional,Residential,Queretaro
76087,Unidad Roma,Residential,Queretaro
76085,Unidad Social Queretana,Residential,Queretaro
76085,Unión,Residential,Queretaro
76180,Unión Magisterial,Residential,Queretaro
76028,Universidad,Residential,Queretaro
76085,Universo 200,Residential,Queretaro
76040,Valle Alameda,Residential,Queretaro
76085,Venceremos,Residential,Queretaro
76158,Victoria,Residential,Queretaro
76147,Victoria A Popular,Residential,Queretaro
76148,Villa Fontana,Residential,Queretaro
76206,Villa Jardín,Residential,Queretaro
76178,Villa las Arboledas,Residential,Queretaro
76116,Villas de Guadalupe,Residential,Queretaro
76148,Villas de Santiago,Residential,Queretaro
76226,Villas Del Mesón,Agro-industrial,Queretaro
76063,Villas Del Oriente,Residential,Queretaro
76140,Villas Del Parque,Residential,Queretaro
76087,Villas Del Rincón,Residential,Queretaro
76046,Villas Del Sol,Residential,Queretaro
76040,Villas Del Sur,Residential,Queretaro
76150,Villas Tecnológico,Residential,Queretaro
76078,Villas Valle Alameda,Residential,Queretaro
76140,Vista 2000,Residential,Queretaro
76090,Vista Alegre,Residential,Queretaro
76074,Vista Alegre,Residential,Queretaro
76074,Vista Alegre 2a Secc,Residential,Queretaro
76074,Vista Alegre 3a Secc,Residential,Queretaro
76074,Vista Alegre Maxei,Residential,Queretaro
76087,Vista Azul,Residential,Queretaro
76060,Vista Dorada,Residential,Queretaro
76063,Vista Hermosa,Residential,Queretaro
76085,Vistas Del Cimatorio,Residential,Queretaro
76116,Vistas Del Valle,Residential,Queretaro
76155,Viveros,Residential,Queretaro
76140,Viveros Residential,Residential,Queretaro
76087,Zapata Vive,Residential,Queretaro
76147,12 de Diciembre,Residential,Queretaro
76116,25 de Diciembre,Residential,Queretaro
76160,Álamos 2a Sección,Residential,Queretaro
76160,Álamos 3a Sección,Residential,Queretaro
76113,Alborada,Residential,Queretaro
76085,Altos del Cimatario,Residential,Queretaro
76140,Altos del Marqués 1 y 2 Etapa,Residential,Queretaro
76121,Altos de San Pablo,Residential,Queretaro
