AGEB KEY,POPULATION,Population from zero to 14 years,Population aged 18 to 24 that attends school,Population of 18 years and over with post-basic education,Economically active population,Population entitled to health services,IMSS entitled population,ISSSTE entitled population,Population entitled by Seguro Popular,Married or united population of 12 years and over,Population in census households,Total homes,Inhabited private homes that have internet,Inhabited private homes that have a cell phone,Inhabited private homes that have a computer,Inhabited private homes that have a car or truck,Inhabited private homes that have a washing machine,Inhabited private homes that have a refrigerator,Inhabited private homes that have a television,"Inhabited private homes that have electricity, piped water from the public network and drainage",Inhabited private homes that have electric light,Private dwellings inhabited with a floor made of different material than earth,Occupants in inhabited private homes
2200143844014,70,21,4,45,34,65,49,0,*,33,70,36,22,24,22,24,23,25,25,25,25,25,70
2200143844015,142,39,5,76,59,104,83,10,4,56,118,50,30,36,32,37,37,37,37,37,37,37,118
2200143844016,58,15,5,41,26,47,41,0,0,35,58,22,15,14,16,17,17,17,17,17,17,17,58
2200143844017,166,57,4,90,71,115,101,5,4,80,154,64,40,45,42,45,44,46,46,46,46,46,154
2200143844018,59,17,0,41,31,54,44,5,0,34,59,26,17,21,20,20,18,21,21,21,21,21,59
2200143844019,69,21,*,44,36,64,52,6,0,34,69,31,22,25,23,24,24,25,25,25,25,25,69
2200143844020,27,4,*,21,12,24,17,0,0,18,27,14,8,10,8,10,10,10,10,10,10,10,27
2200143844021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200143844022,54,17,5,33,29,47,24,*,0,26,54,20,12,15,13,16,16,16,16,16,16,16,54
2200143844023,55,13,0,41,32,50,46,0,0,28,55,24,17,20,18,20,19,20,20,20,20,20,55
2200143844024,55,14,*,31,25,45,20,0,0,24,52,18,14,17,16,17,17,17,17,17,17,16,52
2200143844025,125,27,4,91,70,106,88,5,0,59,125,58,40,46,42,44,43,47,47,47,47,47,125
2200143844026,29,9,*,16,13,16,6,*,0,13,29,14,8,9,8,10,9,9,10,10,10,10,29
2200143844027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200143859000,633,198,19,300,310,533,329,186,32,288,633,345,58,185,110,132,154,188,197,191,198,189,633
2200143859001,39,14,*,20,16,32,28,3,*,16,39,13,5,10,5,10,8,9,10,10,10,9,39
2200143859002,92,30,*,46,43,78,62,17,0,46,92,34,9,25,15,18,21,25,26,26,26,26,92
2200143859003,58,22,*,24,22,49,36,8,7,27,58,29,*,16,8,9,14,17,17,16,17,16,58
2200143859004,21,7,0,12,11,20,15,*,3,12,21,23,*,8,5,6,6,6,7,8,8,8,21
2200143859005,16,4,0,9,11,11,8,7,0,8,16,21,4,6,6,6,6,5,6,6,6,6,16
2200143859006,42,15,3,20,17,38,30,4,3,14,42,19,4,12,11,6,7,12,13,13,13,11,42
2200143859007,70,25,*,29,32,56,23,30,3,27,70,36,7,22,12,15,18,21,23,22,23,22,70
2200143859008,48,14,*,23,27,45,14,14,12,27,48,32,7,13,9,11,11,15,15,12,15,14,48
2200143859009,35,11,*,16,18,35,10,25,0,12,35,19,*,13,7,10,9,13,13,13,13,13,35
2200143859010,30,7,0,15,15,23,19,5,0,20,30,17,*,9,3,9,10,12,12,11,12,10,30
2200143859011,48,13,3,28,26,45,28,24,0,24,48,22,5,11,10,10,12,13,13,13,13,12,48
2200143859012,34,12,*,18,18,30,21,9,0,16,34,17,4,10,6,8,9,11,11,11,11,11,34
2200143859013,39,12,*,14,20,35,18,17,*,15,39,21,*,11,6,6,7,11,11,10,11,11,39
2200143859014,31,5,*,13,18,13,5,10,*,10,31,18,*,9,3,5,7,8,9,9,9,9,31
2200143859015,21,5,0,10,12,14,4,10,0,10,21,16,*,7,3,3,6,7,8,8,8,8,21
2200143859016,9,*,0,3,4,9,8,*,0,4,9,8,0,3,*,0,3,3,3,3,3,3,9
2200143882000,7467,2583,122,2859,3572,6309,5352,506,399,3648,7404,3915,408,2125,869,1426,1820,2138,2226,2241,2252,2234,7404
2200143882001,436,144,14,179,216,359,228,99,12,206,436,371,31,132,63,83,105,126,133,135,136,133,436
